canonicalName,hairs,spines,clonal_cat,annual_perennial_cat,woody_herbaceous_cat,REFERENCE,NOTES
Acacia baileyana,0,0,0,Perennial,,Plantnet,
Acacia cyclops,0,0,0,Perennial,,https://apps.lucidcentral.org/wattle/text/entities/acacia_cyclops.htm,
Acacia dealbata,1,0,0,Perennial,,Plantnet,
Acacia longifolia,0,0,0,Perennial,,Plantnet,
Acacia pravissima,0,0,0,Perennial,,Plantnet,
Acacia saligna,0,0,0,Perennial,,Plantnet,
Acer negundo,0,0,0,Perennial,,Plantnet,
Acer palmatum,0,0,0,Perennial,,https://vicflora.rbg.vic.gov.au/flora/taxon/283b2e3a-db31-4db1-a845-d732610df06e,
Acer platanoides,0,0,0,Perennial,,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.2883,
Alliaria petiolata,0,0,0,Perennial,,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.3941,
Alternanthera philoxeroides,0,0,1,Perennial,,Plantnet,
Ambrosia artemisiifolia,1,0,0,Annual,,Plantnet,
Ambrosia trifida,1,0,0,Annual,,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.4693,
Andropogon bladhii,1,0,1,Perennial,,https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.119799,
Angelica archangelica,0,0,0,Perennial,,"https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276039#:~:text=The%20compound%2C%20biternate%2C%20yellow%2D,(to%206%22%20diameter).",
Arctium minus,1,0,0,Perennial,,Plantnet,
Arctotheca populifolia,1,0,0,Perennial,,Plantnet,
Artemisia biennis,0,0,0,Annual,,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.112441,
Asparagus asparagoides,0,0,1,Annual,Herb,Plantnet,
Aucuba japonica,0,0,,Perennial,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279330,
Berberis thunbergii,0,1,0,Perennial,,Plantnet,
Bidens bipinnata,1,0,0,Perennial,,Plantnet,
Bidens frondosa,0,0,0,Perennial,,https://www.nzpcn.org.nz/flora/species/bidens-frondosa/,
